"issueKey","status","hoursSpent"
"CS-510","Testing/Review","1.60"
"CS-509","In Progress","1.20"
"CS-509","Testing/Review","41.05"
"CS-508","In Progress","0.01"
"CS-508","Testing/Review","42.21"
"CS-507","In Progress","0.01"
"CS-507","Testing/Review","44.62"
"CS-506","In Progress","0.02"
"CS-506","Testing/Review","45.36"
"CS-505","In Progress","69.48"
"CS-505","Testing/Review","177.31"
"CS-504","In Progress","0.50"
"CS-504","Testing/Review","45.45"
"CS-503","In Progress","1.57"
"CS-503","Testing/Review","45.45"
"CS-502","In Progress","0.03"
"CS-502","Testing/Review","18.87"
"CS-501","In Progress","0.02"
"CS-501","Testing/Review","0.01"
"CS-500","In Progress","15.20"
"CS-500","Testing/Review","4.56"
"CS-499","In Progress","23.69"
"CS-499","Testing/Review","45.44"
"CS-498","In Progress","19.27"
"CS-498","Testing/Review","1.39"
"CS-497","In Progress","246.79"
"CS-496","In Progress","246.79"
"CS-495","In Progress","0.16"
"CS-495","Testing/Review","48.49"
"CS-494","In Progress","39.13"
"CS-494","Testing/Review","4.55"
"CS-493","In Progress","21.76"
"CS-493","Testing/Review","0.42"
"CS-492","In Progress","0.05"
"CS-492","Testing/Review","66.18"
"CS-491","In Progress","0.04"
"CS-491","Testing/Review","66.95"
"CS-490","In Progress","0.35"
"CS-490","Testing/Review","65.91"
"CS-489","In Progress","37.86"
"CS-489","Testing/Review","4.55"
"CS-488","In Progress","0.03"
"CS-488","Testing/Review","117.34"
"CS-487","In Progress","0.12"
"CS-487","Testing/Review","68.20"
"CS-486","In Progress","77.22"
"CS-486","Testing/Review","46.85"
"CS-485","In Progress","384.59"
"CS-485","Testing/Review","24.59"
"CS-484","In Progress","0.15"
"CS-484","Testing/Review","170.51"
"CS-483","In Progress","0.54"
"CS-483","Testing/Review","140.80"
"CS-482","In Progress","17.14"
"CS-482","Testing/Review","125.10"
"CS-481","In Progress","21.90"
"CS-481","Testing/Review","142.24"
"CS-480","In Progress","2.27"
"CS-480","Testing/Review","142.65"
"CS-479","In Progress","12.62"
"CS-479","Testing/Review","4.56"
"CS-478","In Progress","2.01"
"CS-478","Testing/Review","151.61"
"CS-477","In Progress","20.28"
"CS-477","Testing/Review","142.48"
"CS-476","In Progress","0.67"
"CS-476","Testing/Review","69.38"
"CS-475","In Progress","0.01"
"CS-474","In Progress","1.49"
"CS-474","Testing/Review","67.68"
"CS-473","In Progress","0.01"
"CS-473","Testing/Review","259.82"
"CS-472","In Progress","12.61"
"CS-472","Testing/Review","363.39"
"CS-471","In Progress","0.00"
"CS-470","In Progress","188.52"
"CS-470","Testing/Review","152.73"
"CS-469","In Progress","18.25"
"CS-469","Testing/Review","268.16"
"CS-468","In Progress","0.30"
"CS-468","Testing/Review","90.22"
"CS-467","In Progress","18.88"
"CS-467","Testing/Review","265.18"
"CS-466","In Progress","25.19"
"CS-465","In Progress","0.87"
"CS-465","Testing/Review","164.51"
"CS-464","In Progress","0.00"
"CS-463","In Progress","13.32"
"CS-463","Testing/Review","169.42"
"CS-462","In Progress","55.99"
"CS-462","Testing/Review","160.74"
"CS-461","In Progress","0.00"
"CS-461","Testing/Review","0.00"
"CS-459","In Progress","75.98"
"CS-459","Testing/Review","242.68"
"CS-455","In Progress","51.44"
"CS-454","In Progress","3.74"
"CS-454","Testing/Review","345.00"
"CS-453","In Progress","234.90"
"CS-453","Testing/Review","5.08"
"CS-452","In Progress","23.48"
"CS-452","Testing/Review","25.36"
"CS-451","In Progress","0.00"
"CS-450","In Progress","2.93"
"CS-450","Testing/Review","213.39"
"CS-449","In Progress","28.94"
"CS-449","Testing/Review","307.65"
"CS-448","In Progress","818.62"
"CS-448","Testing/Review","0.76"
"CS-447","In Progress","0.00"
"CS-446","In Progress","16.39"
"CS-446","Testing/Review","2.75"
"CS-445","In Progress","0.08"
"CS-445","Testing/Review","7.38"
"CS-444","In Progress","19.55"
"CS-444","Testing/Review","2.08"
"CS-443","In Progress","0.11"
"CS-443","Testing/Review","128.17"
"CS-442","In Progress","3173.54"
"CS-441","In Progress","29.45"
"CS-441","Testing/Review","23.34"
"CS-440","In Progress","0.29"
"CS-440","Testing/Review","53.83"
"CS-439","In Progress","0.01"
"CS-439","Testing/Review","71.88"
"CS-438","In Progress","0.03"
"CS-438","Testing/Review","72.50"
"CS-437","In Progress","0.79"
"CS-437","Testing/Review","72.50"
"CS-436","In Progress","1.42"
"CS-436","Testing/Review","70.08"
"CS-435","In Progress","0.03"
"CS-435","Testing/Review","48.19"
"CS-434","In Progress","0.52"
"CS-434","Testing/Review","75.73"
"CS-433","In Progress","0.65"
"CS-433","Testing/Review","65.57"
"CS-432","In Progress","0.72"
"CS-432","Testing/Review","140.86"
"CS-431","In Progress","22.59"
"CS-431","Testing/Review","125.19"
"CS-430","In Progress","73.25"
"CS-430","Testing/Review","68.45"
"CS-429","In Progress","21.45"
"CS-429","Testing/Review","142.83"
"CS-427","In Progress","0.92"
"CS-427","Testing/Review","3.96"
"CS-426","In Progress","2.38"
"CS-426","Testing/Review","173.92"
"CS-425","In Progress","0.08"
"CS-425","Testing/Review","24.65"
"CS-424","In Progress","3.72"
"CS-424","Testing/Review","187.97"
"CS-423","In Progress","26.65"
"CS-423","Testing/Review","212.66"
"CS-422","In Progress","0.14"
"CS-422","Testing/Review","226.37"
"CS-421","In Progress","0.57"
"CS-421","Testing/Review","121.19"
"CS-420","In Progress","2.04"
"CS-420","Testing/Review","65.65"
"CS-419","In Progress","19.89"
"CS-419","Testing/Review","214.12"
"CS-418","In Progress","0.60"
"CS-418","Testing/Review","314.98"
"CS-417","In Progress","3.59"
"CS-417","Testing/Review","333.86"
"CS-416","In Progress","7.14"
"CS-416","Testing/Review","316.19"
"CS-415","In Progress","285.99"
"CS-415","Testing/Review","76.59"
"CS-414","In Progress","1.94"
"CS-414","Testing/Review","168.03"
"CS-413","In Progress","0.01"
"CS-413","Testing/Review","383.39"
"CS-411","In Progress","16.48"
"CS-411","Testing/Review","71.05"
"CS-410","In Progress","46.50"
"CS-410","Testing/Review","319.96"
"CS-409","In Progress","0.21"
"CS-409","Testing/Review","385.58"
"CS-408","In Progress","20.49"
"CS-407","In Progress","0.24"
"CS-407","Testing/Review","197.71"
"CS-406","In Progress","0.58"
"CS-406","Testing/Review","459.10"
"CS-405","In Progress","67.97"
"CS-405","Testing/Review","222.16"
"CS-404","In Progress","0.01"
"CS-404","Testing/Review","500.11"
"CS-403","In Progress","0.67"
"CS-403","Testing/Review","291.75"
